Network Name	Label Name	Full Parcel Name
visual	7Networks_LH_Vis_1	
visual	7Networks_LH_Vis_2	
visual	7Networks_LH_Vis_3	
visual	7Networks_LH_Vis_4	
visual	7Networks_LH_Vis_5	
visual	7Networks_LH_Vis_6	
visual	7Networks_LH_Vis_7	
visual	7Networks_LH_Vis_8	
visual	7Networks_LH_Vis_9	
somatomotor	7Networks_LH_SomMot_1	
somatomotor	7Networks_LH_SomMot_2	
somatomotor	7Networks_LH_SomMot_3	
somatomotor	7Networks_LH_SomMot_4	
somatomotor	7Networks_LH_SomMot_5	
somatomotor	7Networks_LH_SomMot_6	
dorsal attention	7Networks_LH_DorsAttn_Post_1	
dorsal attention	7Networks_LH_DorsAttn_Post_2	
dorsal attention	7Networks_LH_DorsAttn_Post_3	
dorsal attention	7Networks_LH_DorsAttn_Post_4	
dorsal attention	7Networks_LH_DorsAttn_Post_5	
dorsal attention	7Networks_LH_DorsAttn_Post_6	
dorsal attention	7Networks_LH_DorsAttn_PrCv_1	precentral ventral
dorsal attention	7Networks_LH_DorsAttn_FEF_1	frontal eye fields
ventral attention	7Networks_LH_SalVentAttn_ParOper_1	parietal operculum
ventral attention	7Networks_LH_SalVentAttn_FrOperIns_1	frontal operculum insula
ventral attention	7Networks_LH_SalVentAttn_FrOperIns_2	frontal operculum insula
ventral attention	7Networks_LH_SalVentAttn_PFCl_1	lateral prefrontal cortex
ventral attention	7Networks_LH_SalVentAttn_Med_1	medial
ventral attention	7Networks_LH_SalVentAttn_Med_2	medial
ventral attention	7Networks_LH_SalVentAttn_Med_3	medial
limbic	7Networks_LH_Limbic_OFC_1	orbital frontal cortex
limbic	7Networks_LH_Limbic_TempPole_1	
limbic	7Networks_LH_Limbic_TempPole_2	
frontoparietal	7Networks_LH_Cont_Par_1	
frontoparietal	7Networks_LH_Cont_PFCl_1	
frontoparietal	7Networks_LH_Cont_pCun_1	
frontoparietal	7Networks_LH_Cont_Cing_1	
default	7Networks_LH_Default_Temp_1	
default	7Networks_LH_Default_Temp_2	
default	7Networks_LH_Default_Par_1	
default	7Networks_LH_Default_Par_2	
default	7Networks_LH_Default_PFC_1	
default	7Networks_LH_Default_PFC_2	
default	7Networks_LH_Default_PFC_3	
default	7Networks_LH_Default_PFC_4	
default	7Networks_LH_Default_PFC_5	
default	7Networks_LH_Default_PFC_6	
default	7Networks_LH_Default_PFC_7	
default	7Networks_LH_Default_pCunPCC_1	
default	7Networks_LH_Default_pCunPCC_2	
visual	7Networks_RH_Vis_1	
visual	7Networks_RH_Vis_2	
visual	7Networks_RH_Vis_3	
visual	7Networks_RH_Vis_4	
visual	7Networks_RH_Vis_5	
visual	7Networks_RH_Vis_6	
visual	7Networks_RH_Vis_7	
visual	7Networks_RH_Vis_8	
somatomotor	7Networks_RH_SomMot_1	
somatomotor	7Networks_RH_SomMot_2	
somatomotor	7Networks_RH_SomMot_3	
somatomotor	7Networks_RH_SomMot_4	
somatomotor	7Networks_RH_SomMot_5	
somatomotor	7Networks_RH_SomMot_6	
somatomotor	7Networks_RH_SomMot_7	
somatomotor	7Networks_RH_SomMot_8	
dorsal attention	7Networks_RH_DorsAttn_Post_1	
dorsal attention	7Networks_RH_DorsAttn_Post_2	
dorsal attention	7Networks_RH_DorsAttn_Post_3	
dorsal attention	7Networks_RH_DorsAttn_Post_4	
dorsal attention	7Networks_RH_DorsAttn_Post_5	
dorsal attention	7Networks_RH_DorsAttn_PrCv_1	
dorsal attention	7Networks_RH_DorsAttn_FEF_1	
ventral attention	7Networks_RH_SalVentAttn_TempOccPar_1	
ventral attention	7Networks_RH_SalVentAttn_TempOccPar_2	
ventral attention	7Networks_RH_SalVentAttn_FrOperIns_1	
ventral attention	7Networks_RH_SalVentAttn_Med_1	
ventral attention	7Networks_RH_SalVentAttn_Med_2	
limbic	7Networks_RH_Limbic_OFC_1	
limbic	7Networks_RH_Limbic_TempPole_1	
frontoparietal	7Networks_RH_Cont_Par_1	
frontoparietal	7Networks_RH_Cont_Par_2	
frontoparietal	7Networks_RH_Cont_PFCl_1	
frontoparietal	7Networks_RH_Cont_PFCl_2	
frontoparietal	7Networks_RH_Cont_PFCl_3	
frontoparietal	7Networks_RH_Cont_PFCl_4	lateral prefrontal cortex
frontoparietal	7Networks_RH_Cont_Cing_1	
frontoparietal	7Networks_RH_Cont_PFCmp_1	
frontoparietal	7Networks_RH_Cont_pCun_1	
default	7Networks_RH_Default_Par_1	
default	7Networks_RH_Default_Temp_1	
default	7Networks_RH_Default_Temp_2	
default	7Networks_RH_Default_Temp_3	
default	7Networks_RH_Default_PFCv_1	
default	7Networks_RH_Default_PFCv_2	
default	7Networks_RH_Default_PFCdPFCm_1	
default	7Networks_RH_Default_PFCdPFCm_2	
default	7Networks_RH_Default_PFCdPFCm_3	
default	7Networks_RH_Default_pCunPCC_1	
default	7Networks_RH_Default_pCunPCC_2	
