,betweenness_1,betweenness_2,betweenness_3,betweenness_4,betweenness_5,betweenness_6,betweenness_7,betweenness_8,betweenness_9,betweenness_10,betweenness_11,betweenness_12,betweenness_13,betweenness_14,betweenness_15,betweenness_16,betweenness_17,betweenness_18,betweenness_19,betweenness_20,betweenness_21,betweenness_22,betweenness_23,betweenness_24,betweenness_25,betweenness_26,betweenness_27,betweenness_28,betweenness_29,betweenness_30,betweenness_31,betweenness_32,betweenness_33,betweenness_34,betweenness_35,betweenness_36,betweenness_37,betweenness_38,betweenness_39,betweenness_40,betweenness_41,betweenness_42,betweenness_43,betweenness_44,betweenness_45,betweenness_46,betweenness_47,betweenness_48,betweenness_49,betweenness_50,betweenness_51,betweenness_52,betweenness_53,betweenness_54,betweenness_55,betweenness_56,betweenness_57,betweenness_58,betweenness_59,betweenness_60,betweenness_61,betweenness_62,betweenness_63,betweenness_64,betweenness_65,betweenness_66,betweenness_67,betweenness_68,betweenness_69,betweenness_70,betweenness_71,betweenness_72,betweenness_73,betweenness_74,betweenness_75,betweenness_76,betweenness_77,betweenness_78,betweenness_79,betweenness_80,betweenness_81,betweenness_82,betweenness_83,betweenness_84,betweenness_85,betweenness_86,betweenness_87,betweenness_88,betweenness_89,betweenness_90,betweenness_91,betweenness_92,betweenness_93,betweenness_94,betweenness_95,betweenness_96,betweenness_97,betweenness_98,betweenness_99,betweenness_100
0,1614,6131,7276,1533,7103,1355,2464,3537,6391,233,2601,3445,905,391,2960,5050,1748,7222,1397,6292,698,5034,9029,7492,2420,5465,4808,6367,7280,283,6737,1494,4862,187,6446,5002,3096,7068,7534,7292,9181,5283,3662,6940,2506,7732,6486,4550,7410,7718,6354,6511,6441,3356,6213,3259,5548,5101,614,6647,3490,3110,4239,990,218,6407,6269,8985,4732,9103,3942,7086,7833,4482,7640,6394,1517,6361,3383,6120,7656,7537,6305,1991,2563,2943,1583,3467,7228,8941,8343,2958,6066,2002,3034,3583,7372,6535,4618,7065
1,3525,7915,6874,9074,7995,1127,5807,8151,7554,0,3349,5709,1186,5033,6660,7248,8980,3387,263,9071,6285,18,2247,8093,2826,4444,67,3363,4476,5400,3145,5364,6381,9172,3812,8433,1658,1691,3116,6187,2389,0,0,2211,5826,136,4347,7817,2576,4545,0,61,4660,9270,6573,148,6519,8709,8973,14,21,8335,8188,7207,4273,6334,7562,194,1,5184,9098,0,4691,50,5896,181,4030,5677,305,702,8245,7177,6322,183,4809,6972,1,8611,8286,6655,2645,6595,9000,820,0,136,4863,8241,0,7158
2,805,5906,3369,2808,6902,3937,5762,6975,2042,523,425,3634,191,10,60,9000,8048,7196,8390,7378,8950,1597,8592,4854,2064,5419,3527,2579,2283,5532,4165,2571,4073,1928,2726,1515,6693,7084,3712,846,8454,6678,8272,8832,3448,9410,8188,6778,939,5009,4076,6756,8192,6719,4408,1911,4142,3028,0,0,4077,3350,6594,919,6512,6804,4410,7424,9048,3586,9356,7494,392,3544,1912,5583,1913,7326,6881,2585,5181,7676,5807,1240,7098,5930,5669,5021,989,5649,7438,2871,5414,7466,9286,8768,9076,3880,1546,5491
3,1436,7308,7900,8257,6571,5901,8759,5943,8543,337,7023,613,7345,8871,7275,6031,105,4374,0,1256,6551,3007,3034,3076,112,2024,2500,7236,43,1601,7497,2337,2822,6607,7851,7181,8755,1937,1946,140,7326,3123,4816,4396,3836,8239,4410,4059,870,7521,7330,7077,6362,4007,2884,5745,4264,7531,3806,3062,51,6577,8863,4163,67,8975,3814,385,5923,7595,1788,2084,4730,4317,1847,4228,4494,2762,4414,1294,9071,8955,5885,6419,5873,7581,8919,8449,6279,7259,4567,2146,5306,3852,3801,4318,8725,7393,2929,2872
4,4058,3940,5074,5705,8876,4670,6213,731,4617,460,97,1854,3870,4325,689,9088,47,5608,4377,5772,4758,7094,4283,2227,3839,7982,1763,5681,8076,7541,2299,3346,2908,2094,3945,4521,4684,7887,7438,603,7059,4267,4357,5796,3092,8174,5314,5426,7635,7924,1436,3003,8077,5649,8692,7012,5376,4908,4205,1908,2057,340,3328,8724,8788,106,2108,8374,4466,6137,1156,8014,7789,2090,7424,6754,1084,5056,4670,2138,8072,8027,6311,4429,1422,4314,1866,8864,4279,3993,6544,4504,1560,3968,7656,8164,9180,5102,3588,7884
5,3653,4154,3697,3695,5427,2634,2800,7448,2959,5198,1006,5861,711,2037,1693,3477,4488,8554,8303,6490,8116,8106,7035,5977,107,1164,3736,3705,62,3880,1867,4082,5453,6350,5845,1971,4337,4780,6905,3846,9194,5986,8274,8318,5913,8118,9116,8434,1606,8106,3748,6668,8230,3923,2457,1770,6734,6826,541,0,8498,6252,3896,2775,5672,4227,889,7147,5747,8520,8058,3891,1569,6392,9162,5117,8644,436,8,1133,3721,7456,6924,2954,3935,8090,5517,3529,2065,4085,6068,1134,8456,6114,4281,3854,8614,4549,872,6834
6,8569,1862,1719,7279,4338,3646,6032,722,2308,4311,4394,2866,7386,7632,4715,7506,253,8301,216,5035,6651,2362,1286,8333,7324,6358,3671,5747,1899,2672,7700,8182,8037,5733,4238,909,6237,7512,2430,1257,2812,8639,8289,4296,5747,6723,5044,868,1225,4292,4990,5845,4390,6965,4379,6953,5628,1325,4615,4894,4942,7462,8611,4495,326,4242,3006,6080,1847,3490,1776,2805,4816,413,4663,7664,7311,4323,7676,8324,1181,4307,2805,8416,7971,4767,5966,5331,5008,4914,8405,8006,6954,5037,3832,8086,4744,1053,3054,4733
7,6566,6565,7663,2570,3733,2998,4281,3847,7842,6849,271,7984,859,6421,9268,6679,3586,7285,4145,9384,5677,5185,4101,2923,8156,8278,4972,2972,4155,6846,5413,5618,5470,2874,7828,8136,7839,9320,7207,3830,2684,6549,9186,7014,8046,7349,5184,5694,9054,1306,6334,3988,2410,2461,8222,926,2842,3137,678,3041,843,1140,351,934,3982,8122,6316,2124,5757,3417,8538,202,1763,2986,2030,8166,1323,2306,2599,1228,3786,2895,6814,6513,8958,5498,2884,6539,8070,4153,1866,3794,1368,3325,5543,7603,6941,1652,5161,4685
8,599,8497,5735,5521,6738,8289,7349,7393,7979,706,5160,2120,1506,6441,7307,5663,8401,6686,6440,767,7561,7995,1505,5543,6652,5339,1593,6467,4136,953,7449,927,8275,8247,8965,4194,6632,3682,1921,1127,1859,5031,5522,7349,5361,5683,5248,6953,5583,3320,1562,7859,6304,5697,8261,5659,6368,8901,867,2703,2136,3051,2752,940,1519,7190,2457,5603,2192,2483,7365,2724,2072,388,5431,5814,2651,2530,2917,1597,3930,6632,1525,2365,3461,7649,3271,7397,7836,1869,8459,3503,4469,7284,6218,7225,7465,6574,5285,3605
9,2514,3143,4714,4065,1313,7687,4567,8403,7055,7820,8717,7690,4011,5836,4390,4232,2571,8572,2024,4808,2425,2546,1594,8643,7974,7429,8339,6398,8454,4557,4555,5328,4001,8144,4988,7331,1511,2637,3970,8803,4800,7875,5788,3186,5716,8775,8076,5307,1349,2510,1429,1428,4782,4920,429,1508,7277,5812,1755,5868,8166,2905,8482,6372,5294,658,8257,1596,3277,8346,3520,1208,6508,8048,1223,105,7295,5334,1418,5898,5734,5530,7598,3958,8088,6457,3544,3108,5001,4666,3297,6642,64,3047,741,324,8545,7592,0,2211
10,0,1451,0,0,7396,4282,0,125,3394,7550,4916,7966,5246,4891,4775,4415,7930,6720,7146,6952,2692,4869,9002,4231,0,7610,9244,6820,6203,5329,0,0,0,4855,6355,8018,2099,0,0,3922,5204,0,5534,0,8852,7766,7490,8746,3814,5875,0,0,97,7668,3461,3249,484,6864,6612,3339,8076,7484,0,7078,7156,1972,0,194,6732,7402,7570,5764,7978,1507,4775,3476,8648,6359,8896,9146,4283,3414,0,5295,8988,5835,4411,9098,7642,7696,0,2836,0,1894,8760,0,7118,5799,1638,495
11,2254,7300,45,7178,7322,8592,8916,3584,464,3505,2812,526,1176,4299,5753,9178,2281,3194,3669,1424,8976,535,1651,8808,2929,4057,3979,4356,439,2244,3842,1113,7749,2405,6654,3468,7202,4598,2546,167,8884,1227,6531,3371,8083,3439,9012,6071,5758,7324,2442,7229,8798,6511,5020,311,5851,3171,4025,3129,8970,1557,5828,2811,5759,5537,4058,5728,4071,5951,6907,6033,6477,4941,6069,5126,18,7850,2100,2149,6114,8764,8898,5663,3880,8896,7388,1277,7069,6209,8138,2571,6039,3065,5305,4167,9104,5148,2601,7326
12,4653,8125,8803,6090,4711,4765,6113,8439,8002,213,2381,1690,507,7643,4722,6769,7681,1921,426,7777,6162,6957,5058,939,808,7257,8037,4600,726,5835,3074,2565,4457,3596,7073,6817,4853,5558,1062,2932,2546,6593,1943,2972,6165,6134,4206,1929,4007,7246,4083,8993,8013,5640,4379,1235,8867,8127,744,345,4189,3313,3961,4033,3260,7135,5956,729,3503,2671,7008,5592,54,1895,7385,3040,197,4523,1635,2583,8730,4277,8965,7880,8771,8095,4381,9011,7657,7147,7167,5424,3119,1625,7968,2489,6914,5791,2675,7477
13,4773,8479,6572,5746,6117,2644,7890,7730,3509,25,233,7216,3929,0,149,9112,4281,5937,158,2714,393,6133,8571,5469,6798,3253,6724,5490,76,4671,3237,2665,5341,1755,7826,6368,3460,2874,4494,1933,6416,8380,5993,6065,6410,4330,5776,3211,5401,7224,7119,4559,7938,8275,6256,1322,7095,7057,460,6334,6996,3359,8692,2510,5516,455,6274,68,1567,7122,2796,6141,2159,6312,5186,3187,475,2298,4490,1699,6080,6556,7225,5423,3051,8359,2403,9080,5159,6196,4954,943,356,8716,8321,6034,4729,7103,3162,6810
