,r,p_value,p_value_fdr,,
transitivity,0.075330428,0.228797426,,,
assortativity,-0.017393081,0.781400766,,,
strengths_total_positive,0.188035161,0.002471712,,,
strengths_total_negative,0.033536275,0.592541185,,,
global_efficiency,0.095847519,0.125376204,,,
betweenness_1,0.130671913,0.03593055,,,
betweenness_2,-0.060340849,0.334348911,,,
betweenness_3,-0.056427475,0.366696925,,,
betweenness_4,0.007344681,0.906541682,,,
betweenness_5,-0.143179297,0.02142002,,,
betweenness_6,-0.026604309,0.670597031,,,
betweenness_7,-0.012606009,0.840301941,,,
betweenness_8,-0.081253061,0.193281702,,,
betweenness_9,0.04345846,0.487064647,,,
betweenness_10,-0.01459861,0.815480163,,,
betweenness_11,0.054080716,0.386994805,,,
betweenness_12,0.076330861,0.221751078,,,
betweenness_13,0.002311176,0.970530634,,,
betweenness_14,0.105699208,0.090210964,,,
betweenness_15,0.135835088,0.029156787,,,
betweenness_16,0.085649945,0.170193235,,,
betweenness_17,-0.068694493,0.271620575,,,
betweenness_18,-0.004251963,0.94581325,,,
betweenness_19,-0.049920053,0.424615675,,,
betweenness_20,0.042497276,0.496757883,,,
betweenness_21,0.072366845,0.246758518,,,
betweenness_22,-0.045244456,0.46932648,,,
betweenness_23,-0.010277443,0.869508425,,,
betweenness_24,0.073010805,0.242567691,,,
betweenness_25,0.056108794,0.36941391,,,
betweenness_26,0.059444677,0.341590285,,,
betweenness_27,0.04369215,0.4847234,,,
betweenness_28,-0.068427168,0.273494715,,,
betweenness_29,-0.072883783,0.243390373,,,
betweenness_30,0.135542684,0.029508884,,,
betweenness_31,0.055674588,0.373135794,,,
betweenness_32,0.120793933,0.052633201,,,
betweenness_33,0.021654618,0.72921022,,,
betweenness_34,0.004920331,0.937311872,,,
betweenness_35,-0.006017739,0.923369104,,,
betweenness_36,-0.105956348,0.089426439,,,
betweenness_37,-0.046379611,0.458239599,,,
betweenness_38,0.021092847,0.735970914,,,
betweenness_39,0.058145432,0.352264386,,,
betweenness_40,-0.034792051,0.578007208,,,
betweenness_41,-0.071921486,0.249686213,,,
betweenness_42,0.210337485,0.000673286,,,
betweenness_43,0.0536527,0.390768987,,,
betweenness_44,-0.047746713,0.445083362,,,
betweenness_45,0.10613067,0.0888977,,,
betweenness_46,0.014510845,0.816569763,,,
betweenness_47,-0.167498688,0.00700852,,,
betweenness_48,-0.054739304,0.381230829,,,
betweenness_49,-0.075701439,0.225596476,,,
betweenness_50,-0.145519175,0.019361561,,,
betweenness_51,0.127152689,0.041275903,,,
betweenness_52,0.024404249,0.696429349,,,
betweenness_53,-0.106473082,0.087866421,,,
betweenness_54,0.004988808,0.936441246,,,s
betweenness_55,-0.130691942,0.035901893,,,
betweenness_56,-0.11259967,0.070983579,,,
betweenness_57,-0.142886965,0.021690052,,,
betweenness_58,-0.068194205,0.275135097,,,
betweenness_59,0.016996496,0.785854143,,,
betweenness_60,0.151881618,0.014609505,,,
betweenness_61,-0.064065843,0.305312973,,,
betweenness_62,0.100257319,0.108141753,,,
betweenness_63,-0.134033007,0.031385151,,,
betweenness_64,-0.01706205,0.78504832,,,
betweenness_65,0.030805341,0.622350884,,,
betweenness_66,0.133070477,0.032633775,,,
betweenness_67,-0.096951792,0.120333312,,,
betweenness_68,-0.187083066,0.002552138,,,
betweenness_69,-0.011610976,0.852758026,,,
betweenness_70,-0.037025268,0.553831102,,,
betweenness_71,0.030927887,0.620966166,,,
betweenness_72,-0.054617729,0.382290896,,,
betweenness_73,-0.105632638,0.090414962,,,
betweenness_74,-0.011568936,0.85328513,,,
betweenness_75,-0.053455608,0.392514366,,,
betweenness_76,-0.106722945,0.087119951,,,
betweenness_77,-0.152640994,0.014117062,,,
betweenness_78,0.019567805,0.754425599,,,
betweenness_79,0.039971588,0.522708005,,,
betweenness_80,0.080720732,0.196225231,,,
betweenness_81,-0.082381562,0.187148516,,,
betweenness_82,0.003389343,0.956794381,,,
betweenness_83,0.04369569,0.484687985,,,
betweenness_84,0.085198939,0.172462345,,,
betweenness_85,0.023151373,0.711300509,,,
betweenness_86,-0.072330922,0.246993778,,,
betweenness_87,-0.090186168,0.148594043,,,
betweenness_88,-0.031522866,0.614262193,,,
betweenness_89,-0.052407828,0.401871764,,,
betweenness_90,-0.133658421,0.031866147,,,
betweenness_91,0.0035263,0.955050313,,,
betweenness_92,0.165647869,0.007670873,,,
betweenness_93,0.050011818,0.423763673,,,
betweenness_94,0.116746395,0.061133702,,,
betweenness_95,0.103326667,0.097712011,,,
betweenness_96,-0.003154212,0.959789087,,,
betweenness_97,-0.154117435,0.013201144,,,
betweenness_98,-0.085519641,0.170846527,,,
betweenness_99,-0.017800427,0.775987858,,,
betweenness_100,-0.046597259,0.456130674,,,
strength_1,0.050617897,0.418161494,,,
strength_2,0.13551037,0.029548018,,,
strength_3,0.060842168,0.330341319,,,
strength_4,0.118902219,0.056475256,,,
strength_5,0.166601041,0.007323102,,,
strength_6,0.206554797,0.000844698,,,
strength_7,0.124485319,0.045760285,,,
strength_8,0.132909581,0.032846566,,,
strength_9,0.179669968,0.003785395,,,
strength_10,0.101208891,0.104818565,,,
strength_11,0.06972342,0.264488777,,,
strength_12,0.042182454,0.499954836,,,
strength_13,0.136283898,0.028623346,,,
strength_14,0.125880745,0.043365882,,,
strength_15,0.113841791,0.067905979,,,
strength_16,0.052225047,0.403517647,,,
strength_17,0.109008462,0.080525601,,,
strength_18,0.090871421,0.145520755,,,
strength_19,0.111163441,0.074682853,,,
strength_20,0.079213992,0.204733509,,,
strength_21,-0.016544215,0.791419965,,,
strength_22,0.115554455,0.063842301,,,
strength_23,0.101565958,0.103592574,,,
strength_24,0.092920887,0.136617699,,,
strength_25,-0.106917769,0.086541449,,,
strength_26,-0.03307131,0.596965607,,,
strength_27,0.043023762,0.49143581,,,
strength_28,0.099768745,0.109879924,,,
strength_29,0.151833427,0.014641258,,,
strength_30,0.053239648,0.394432216,,,
strength_31,0.091310243,0.143578251,,,
strength_32,-0.09259247,0.138015559,,,
strength_33,0.002285298,0.970860458,,,
strength_34,0.068598415,0.272293143,,,
strength_35,0.118369064,0.057599079,,,
strength_36,0.118716348,0.056864969,,,
strength_37,0.139684069,0.024846877,,,
strength_38,-0.072911168,0.243212846,,,
strength_39,-0.035017359,0.575545859,,,
strength_40,0.067500661,0.280058085,,,
strength_41,0.027873227,0.655869651,,,
strength_42,-0.058130975,0.352384325,,,
strength_43,-0.057275692,0.359525826,,,
strength_44,0.071125134,0.254981204,,,
strength_45,-0.000278456,0.996448666,,,
strength_46,0.047453907,0.447883009,,,
strength_47,0.169631568,0.006308925,,,
strength_48,0.107683611,0.084297215,,,
strength_49,0.089647891,0.151042514,,,
strength_50,0.109153804,0.080120265,,,
strength_51,0.03904362,0.532413332,,,
strength_52,0.071118846,0.255023325,,,
strength_53,0.073008994,0.242579405,,,
strength_54,0.071530416,0.25227684,,,
strength_55,0.231262986,0.000178589,,,
strength_56,0.187958671,0.00243368,,,
strength_57,0.158862962,0.01060122,,,
strength_58,0.185410989,0.002793018,,,
strength_59,0.022891759,0.714395961,,,
strength_60,0.002035141,0.974048983,,,
strength_61,-0.029458715,0.637653862,,,
strength_62,0.061858166,0.322314549,,,
strength_63,0.172128241,0.005569872,,,
strength_64,0.096614538,0.121635036,,,
strength_65,0.085088475,0.173021527,,,
strength_66,0.06066049,0.331790084,,,
strength_67,0.110937042,0.075280021,,,
strength_68,0.206032124,0.000871318,,,
strength_69,0.212546673,0.000588675,,,
strength_70,0.196779131,0.001490597,,,
strength_71,0.070091667,0.261967814,,,
strength_72,0.137951142,0.026714266,,,
strength_73,0.0819161,0.18966067,,,
strength_74,0.080889621,0.195287842,,,
strength_75,0.11742923,0.059625116,,,
strength_76,-0.044696596,0.474729651,,,
strength_77,0.179885885,0.003742948,,,
strength_78,0.012940704,0.83612089,,,
strength_79,0.094879514,0.128505581,,,
strength_80,-0.090202707,0.148519289,,,
strength_81,0.067739637,0.278355083,,,
strength_82,0.078395743,0.209464246,,,
strength_83,0.097747928,0.117303417,,,
strength_84,0.092556833,0.138167899,,,
strength_85,0.060133624,0.336014551,,,
strength_86,0.229848694,0.000196114,,,
strength_87,0.155654252,0.012303655,,,
strength_88,0.125529967,0.043957653,,,
strength_89,0.191096807,0.002049072,,,
strength_90,0.113306541,0.069218522,,,
strength_91,-0.008968248,0.886009986,,,
strength_92,-0.119243913,0.055764594,,,
strength_93,-0.060701018,0.331466545,,,
strength_94,-0.049188232,0.431445866,,,
strength_95,-0.091112494,0.144451153,,,
strength_96,0.085449036,0.17120129,,,
strength_97,0.09147585,0.142850333,,,
strength_98,0.179294035,0.00386034,,,
strength_99,0.089635313,0.15110009,,,
strength_100,0.149971927,0.015914994,,,
strengths_nodal_positive_1,0.134530707,0.030755659,,,
strengths_nodal_positive_2,0.157306123,0.011399312,,,
strengths_nodal_positive_3,0.046810348,0.454071187,,,
strengths_nodal_positive_4,0.205480802,0.000900235,,,
strengths_nodal_positive_5,0.170433745,0.006062425,,,
strengths_nodal_positive_6,0.202578149,0.0010676,,,
strengths_nodal_positive_7,0.118654857,0.056994386,,,
strengths_nodal_positive_8,0.103412784,0.097431339,,,
strengths_nodal_positive_9,0.167258575,0.007091463,,,
strengths_nodal_positive_10,0.129198462,0.038092562,,,
strengths_nodal_positive_11,0.084192664,0.177606099,,,
strengths_nodal_positive_12,0.096089768,0.123682265,,,
strengths_nodal_positive_13,0.202455865,0.001075242,,,
strengths_nodal_positive_14,0.190391757,0.002130303,,,
strengths_nodal_positive_15,0.190306508,0.002140321,,,
strengths_nodal_positive_16,0.084867667,0.174143325,,,
strengths_nodal_positive_17,0.124160395,0.046333439,,,
strengths_nodal_positive_18,0.10399555,0.095548778,,,
strengths_nodal_positive_19,0.131401655,0.034898894,,,
strengths_nodal_positive_20,0.166240481,0.007452966,,,
strengths_nodal_positive_21,0.035101909,0.574623474,,,
strengths_nodal_positive_22,0.100331248,0.107880637,,,
strengths_nodal_positive_23,0.071216672,0.254368645,,,
strengths_nodal_positive_24,0.104327462,0.094489588,,,
strengths_nodal_positive_25,0.026892166,0.667244782,,,
strengths_nodal_positive_26,0.008474224,0.89225003,,,
strengths_nodal_positive_27,0.153107967,0.013821522,,,
strengths_nodal_positive_28,0.148807791,0.016759894,,,
