measure_name,r,p_value,fdr_p_value
betweenness_1,0.112335442,0.075655217,0.340471268
betweenness_2,-0.067524227,0.286576535,0.590683935
betweenness_3,-0.072656857,0.251434625,0.554805621
betweenness_4,-0.023825469,0.707187809,0.873071369
betweenness_5,-0.14445459,0.022068475,0.315263929
betweenness_6,-0.040516062,0.522853164,0.763584157
betweenness_7,-0.02474409,0.69644554,0.870556925
betweenness_8,-0.06376519,0.314313419,0.604448883
betweenness_9,0.079808082,0.207634218,0.534741778
betweenness_10,-0.016516414,0.794570017,0.902920474
betweenness_11,0.078723658,0.213896711,0.534741778
betweenness_12,0.094356522,0.136025953,0.438793397
betweenness_13,0.01864778,0.768767622,0.89391584
betweenness_14,0.109075387,0.084599119,0.340471268
betweenness_15,0.115635634,0.067398306,0.340471268
betweenness_16,0.09797194,0.121587048,0.40529016
betweenness_17,-0.03515926,0.579292492,0.793551359
betweenness_18,0.000272814,0.996568623,0.998076705
betweenness_19,-0.040125328,0.526873068,0.763584157
betweenness_20,0.065507164,0.301248807,0.590683935
betweenness_21,0.05453046,0.389649636,0.695802921
betweenness_22,-0.035653603,0.573967099,0.793551359
betweenness_23,-0.006459143,0.918897696,0.982092227
betweenness_24,0.076894021,0.2247677,0.548213902
betweenness_25,0.057704574,0.362607422,0.671495226
betweenness_26,0.084671236,0.181173285,0.519945686
betweenness_27,0.055610352,0.380315524,0.691482771
betweenness_28,-0.066158413,0.296458184,0.590683935
betweenness_29,-0.073953442,0.243051371,0.554805621
betweenness_30,0.148017692,0.018962131,0.315263929
betweenness_31,0.029530288,0.641491794,0.833106226
betweenness_32,0.117417277,0.063256539,0.340471268
betweenness_33,0.019192953,0.762207174,0.89391584
betweenness_34,0.044950872,0.478349642,0.754735094
betweenness_35,-0.009869489,0.876359816,0.963032765
betweenness_36,-0.109726131,0.082748958,0.340471268
betweenness_37,-0.079755689,0.207933709,0.534741778
betweenness_38,0.035540152,0.575187228,0.793551359
betweenness_39,0.079472646,0.209557057,0.534741778
betweenness_40,-0.021662328,0.732710024,0.882783161
betweenness_41,-0.04968098,0.433245506,0.713055484
betweenness_42,0.164754093,0.008921148,0.315263929
betweenness_43,0.066255081,0.295751429,0.590683935
betweenness_44,-0.073328808,0.247065329,0.554805621
betweenness_45,0.125487076,0.047030783,0.340471268
betweenness_46,0.029935536,0.636922103,0.833106226
betweenness_47,-0.150172728,0.017273936,0.315263929
betweenness_48,-0.049495816,0.434963845,0.713055484
betweenness_49,-0.079592563,0.208868185,0.534741778
betweenness_50,-0.107427135,0.0894344,0.340471268
betweenness_51,0.107381264,0.089572065,0.340471268
betweenness_52,0.027800444,0.661148445,0.847626212
betweenness_53,-0.109339487,0.083844271,0.340471268
betweenness_54,-0.000170366,0.997857174,0.998076705
betweenness_55,-0.136177834,0.031025111,0.340471268
betweenness_56,-0.102133337,0.10647462,0.367153862
betweenness_57,-0.12607788,0.045993996,0.340471268
betweenness_58,-0.052141918,0.410781227,0.713055484
betweenness_59,0.024865018,0.695035866,0.870556925
betweenness_60,0.156618398,0.012981861,0.315263929
betweenness_61,-0.075346606,0.234263504,0.554805621
betweenness_62,0.118283997,0.061318603,0.340471268
betweenness_63,-0.117851396,0.062279677,0.340471268
betweenness_64,-0.005072672,0.93626461,0.985541695
betweenness_65,0.030877972,0.626348087,0.833106226
betweenness_66,0.127765197,0.043137798,0.340471268
betweenness_67,-0.09029601,0.153772405,0.465976985
betweenness_68,-0.175821707,0.005215242,0.315263929
betweenness_69,0.00260634,0.967227222,0.998076705
betweenness_70,-0.009939676,0.875487663,0.963032765
betweenness_71,0.036695918,0.562814776,0.793551359
betweenness_72,-0.043898395,0.488721514,0.754735094
betweenness_73,-0.105510669,0.095331955,0.340471268
betweenness_74,-0.006118073,0.923166693,0.982092227
betweenness_75,-0.044691179,0.480897674,0.754735094
betweenness_76,-0.124227446,0.049306622,0.340471268
betweenness_77,-0.126646706,0.045013925,0.340471268
betweenness_78,0.040530519,0.522704731,0.763584157
betweenness_79,0.033858863,0.593410161,0.801905623
betweenness_80,0.071727688,0.25756427,0.554805621
betweenness_81,-0.091055311,0.150327293,0.465976985
betweenness_82,0.010251573,0.871613765,0.963032765
betweenness_83,0.042778261,0.499891106,0.757410767
betweenness_84,0.084515336,0.18198099,0.519945686
betweenness_85,0.0437113,0.490577811,0.754735094
betweenness_86,-0.049880535,0.431398003,0.713055484
betweenness_87,-0.058911927,0.352635614,0.665350215
betweenness_88,-0.002528933,0.968200033,0.998076705
betweenness_89,-0.021831556,0.730702299,0.882783161
betweenness_90,-0.11257533,0.075028598,0.340471268
betweenness_91,0.006517174,0.918171574,0.982092227
betweenness_92,0.15166151,0.016185612,0.315263929
betweenness_93,0.050795694,0.422983698,0.713055484
betweenness_94,0.105614255,0.095005467,0.340471268
betweenness_95,0.109733382,0.082728528,0.340471268
betweenness_96,-0.000152912,0.998076705,0.998076705
betweenness_97,-0.135107672,0.032383567,0.340471268
betweenness_98,-0.071249505,0.260758642,0.554805621
betweenness_99,-0.020535159,0.746128594,0.888248326
betweenness_100,-0.0173914,0.783948595,0.901090339
strength_1,0.054673496,0.388405395,0.547049852
strength_2,0.12739594,0.043749781,0.230262005
strength_3,0.079396699,0.209994187,0.398405343
strength_4,0.121608803,0.054332502,0.2665733
strength_5,0.169237716,0.007204135,0.081633367
strength_6,0.199694935,0.001472436,0.041257175
strength_7,0.129697591,0.040051257,0.222506983
strength_8,0.100467463,0.112336373,0.301705116
strength_9,0.169727186,0.007035814,0.081633367
strength_10,0.06879226,0.277602478,0.462670797
strength_11,0.040969076,0.518212196,0.616148899
strength_12,0.029816733,0.638260346,0.733632582
strength_13,0.106033011,0.093694675,0.288984048
strength_14,0.090199203,0.154215894,0.344608531
strength_15,0.066121799,0.296726167,0.470993916
strength_16,0.043864921,0.489053352,0.610868466
strength_17,0.094907228,0.133745365,0.334363413
strength_18,0.057790173,0.361894713,0.547049852
strength_19,0.099829254,0.114647944,0.301705116
strength_20,0.047743502,0.451417887,0.593970904
strength_21,-0.025715045,0.685156745,0.761285272
strength_22,0.079195599,0.211154832,0.398405343
strength_23,0.089017644,0.159706911,0.347188937
strength_24,0.055496111,0.381296468,0.547049852
strength_25,-0.11710036,0.063977592,0.2665733
strength_26,-0.07029558,0.26721218,0.460710655
strength_27,0.040431038,0.523726564,0.616148899
strength_28,0.085539746,0.176721959,0.360657059
strength_29,0.139546955,0.027061361,0.169133506
strength_30,0.051590969,0.415749829,0.564668268
strength_31,0.109655094,0.082949329,0.288984048
strength_32,-0.102643142,0.104729749,0.301705116
strength_33,0.018447353,0.771183661,0.829229743
strength_34,0.02275166,0.719818551,0.782411468
strength_35,0.090407892,0.153261059,0.344608531
strength_36,0.108994878,0.084830312,0.288984048
strength_37,0.106219693,0.093114987,0.288984048
strength_38,-0.077667995,0.220122105,0.407633528
strength_39,-0.03261089,0.607104084,0.705934981
strength_40,0.044007589,0.487639867,0.610868466
strength_41,-0.010259154,0.871519645,0.9173891
strength_42,-0.027512806,0.664440057,0.755045519
strength_43,-0.042841207,0.499259884,0.610868466
strength_44,0.102372984,0.105651564,0.301705116
strength_45,-0.001028268,0.987067245,0.987067245
strength_46,0.04624853,0.465727927,0.604841464
strength_47,0.133962436,0.033893104,0.1993712
strength_48,0.087836843,0.165339948,0.351787123
strength_49,0.086042117,0.174184443,0.360657059
strength_50,0.070488332,0.265899438,0.460710655
strength_51,0.042817682,0.499495744,0.610868466
strength_52,0.068975906,0.27631873,0.462670797
strength_53,0.0792214,0.211005662,0.398405343
strength_54,0.075555303,0.232966596,0.416011779
strength_55,0.222538418,0.000381261,0.0381261
strength_56,0.168830203,0.007347003,0.081633367
strength_57,0.150665149,0.01690711,0.112714067
strength_58,0.1688727,0.007331987,0.081633367
strength_59,0.023584899,0.710010724,0.780231565
strength_60,0.007615253,0.904445265,0.932417799
strength_61,-0.004153292,0.94779792,0.967140735
strength_62,0.041110226,0.516770506,0.616148899
strength_63,0.165343958,0.008676239,0.083977973
strength_64,0.055943844,0.377460802,0.547049852
strength_65,0.056223108,0.3750804,0.547049852
strength_66,0.048339215,0.445785303,0.593970904
strength_67,0.115140201,0.068588652,0.272259423
strength_68,0.197652058,0.001650287,0.041257175
strength_69,0.199242648,0.001510226,0.041257175
strength_70,0.164012901,0.009237577,0.083977973
strength_71,0.042676532,0.500912142,0.610868466
strength_72,0.114243218,0.07078745,0.272259423
strength_73,0.07663745,0.226322963,0.411496296
