,r,p_value
betweenness_1,0.1306719134346675,0.035930550098011306
betweenness_2,-0.060340848862448504,0.33434891136601297
betweenness_3,-0.05642747462189386,0.3666969245441162
betweenness_4,0.007344680635489526,0.9065416817752696
betweenness_5,-0.1431792966864595,0.021420019837161672
betweenness_6,-0.02660430915951245,0.6705970314760532
betweenness_7,-0.012606008685960903,0.8403019413438138
betweenness_8,-0.08125306144984944,0.19328170222340543
betweenness_9,0.04345846007863999,0.48706464693857743
betweenness_10,-0.01459860955188221,0.8154801630821991
betweenness_11,0.054080716154835354,0.3869948049157861
betweenness_12,0.07633086116585715,0.22175107800084992
betweenness_13,0.002311176205388751,0.9705306341084334
betweenness_14,0.10569920779475384,0.09021096412068245
betweenness_15,0.13583508762455768,0.029156787057605146
betweenness_16,0.08564994478913877,0.17019323541562745
betweenness_17,-0.06869449298519827,0.27162057514427435
betweenness_18,-0.004251962864328205,0.945813249971066
betweenness_19,-0.049920052659334385,0.42461567508395404
betweenness_20,0.042497275703689386,0.4967578827295662
betweenness_21,0.07236684539229171,0.24675851840625992
betweenness_22,-0.04524445646315295,0.46932648013296174
betweenness_23,-0.010277443098429147,0.8695084245175255
betweenness_24,0.07301080477599352,0.24256769102025896
betweenness_25,0.05610879363638469,0.36941390983792144
betweenness_26,0.05944467687965437,0.34159028459186813
betweenness_27,0.04369215020225374,0.48472340049761153
betweenness_28,-0.06842716773703963,0.27349471472641385
betweenness_29,-0.07288378294983872,0.24339037260874163
betweenness_30,0.13554268432961838,0.029508884435516525
betweenness_31,0.05567458777836523,0.3731357938439286
betweenness_32,0.12079393334870758,0.052633201176135645
betweenness_33,0.021654618271849356,0.7292102200625699
betweenness_34,0.004920330682001133,0.9373118717948753
betweenness_35,-0.00601773912381917,0.9233691041196954
betweenness_36,-0.1059563476715954,0.08942643888058441
betweenness_37,-0.04637961069191838,0.4582395989555863
betweenness_38,0.02109284720426164,0.7359709137553905
betweenness_39,0.05814543170877293,0.35226438648009195
betweenness_40,-0.03479205109488974,0.5780072083853578
betweenness_41,-0.07192148569407056,0.24968621257207185
betweenness_42,0.21033748456193313,0.0006732856886284181
betweenness_43,0.05365270021767828,0.39076898720970765
betweenness_44,-0.04774671298290524,0.4450833620339534
betweenness_45,0.10613067012089154,0.08889770043718036
betweenness_46,0.014510845488324164,0.8165697634887247
betweenness_47,-0.1674986876388472,0.007008519929336097
betweenness_48,-0.05473930395584948,0.3812308287695937
betweenness_49,-0.0757014392229024,0.22559647572825028
betweenness_50,-0.14551917453912372,0.019361560517408224
betweenness_51,0.127152689474302,0.04127590265900747
betweenness_52,0.024404248959684297,0.6964293492588195
betweenness_53,-0.10647308178621406,0.08786642092854903
betweenness_54,0.004988808459489364,0.9364412458472969
betweenness_55,-0.13069194229362086,0.035901893454011416
betweenness_56,-0.1125996697650843,0.0709835791409537
betweenness_57,-0.14288696500415185,0.02169005204921647
betweenness_58,-0.06819420531282559,0.27513509707197736
betweenness_59,0.016996495935542245,0.7858541429768031
betweenness_60,0.15188161807045691,0.014609504505805726
betweenness_61,-0.06406584315046608,0.30531297276043323
betweenness_62,0.10025731909499153,0.10814175287517439
betweenness_63,-0.1340330072397395,0.03138515106293297
betweenness_64,-0.017062050171281328,0.7850483202770107
betweenness_65,0.030805341133236283,0.622350883518922
betweenness_66,0.13307047689590087,0.03263377462170089
betweenness_67,-0.09695179172992874,0.12033331196767005
betweenness_68,-0.18708306598735006,0.0025521380062440563
betweenness_69,-0.011610976220968355,0.8527580263331078
betweenness_70,-0.03702526808416739,0.5538311024816462
betweenness_71,0.03092788727858516,0.6209661656580732
betweenness_72,-0.05461772882959997,0.38229089581423836
betweenness_73,-0.10563263780280381,0.09041496162483886
betweenness_74,-0.01156893556591476,0.8532851299967115
betweenness_75,-0.053455608088678365,0.3925143655405444
betweenness_76,-0.10672294494585674,0.08711995100045584
betweenness_77,-0.1526409939355405,0.014117062292176748
betweenness_78,0.019567804712628468,0.7544255986066293
betweenness_79,0.0399715883681434,0.5227080046406027
betweenness_80,0.08072073192638364,0.19622523092587985
betweenness_81,-0.08238156163467253,0.1871485163973165
